"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Brazil";"34.6";"0.99";"0.94";"0.9";NULL;"0.99";NULL;"0.99";"0.99";NULL;"0.37";"0.98"
"Cabo Verde";"34.4";"0.96";NULL;NULL;NULL;"0.86";NULL;"0.9";NULL;NULL;NULL;"0.9"
"Paraguay";"33.8";"0.85";NULL;NULL;NULL;"0.92";NULL;"0.86";"0.92";NULL;NULL;"0.86"
"El Salvador";"33";"0.99";"0.99";NULL;NULL;"0.97";NULL;"0.98";"0.97";NULL;NULL;"0.99"
"Moldova";"31.5";"0.99";"0.92";NULL;NULL;"0.89";NULL;"0.97";NULL;NULL;NULL;"0.95"
"Suriname";"31.1";NULL;NULL;NULL;NULL;"0.84";NULL;"0.7";"0.84";NULL;NULL;"0.71"
"Solomon Islands";"30.8";"0.99";"0.81";NULL;NULL;"0.91";NULL;"0.88";NULL;NULL;NULL;"0.86"
"Armenia";"30.6";"0.97";"0.55";NULL;NULL;"0.92";NULL;"0.96";NULL;NULL;NULL;"0.93"
"West Bank and Gaza";"30.4";"0.92";"0.95";NULL;NULL;"0.93";NULL;"0.93";"0.95";NULL;NULL;"0.93"
"Viet Nam";"30";"0.98";NULL;NULL;NULL;"0.97";NULL;"0.96";NULL;NULL;NULL;"0.96"
"Ecuador";"29.5";"0.99";"0.36";NULL;NULL;"0.99";NULL;"0.83";"0.99";NULL;"0.05";"0.87"
"Tunisia";"29.4";"0.95";"0.94";NULL;NULL;"0.95";NULL;"0.97";NULL;NULL;NULL;"0.97"
"Vanuatu";"28.9";"0.79";"0.7";NULL;NULL;"0.61";NULL;"0.67";NULL;NULL;NULL;"0.71"
"Mexico";"28.2";"0.99";"0.97";"0.97";NULL;"0.96";NULL;"0.97";"0.96";NULL;NULL;"0.97"
"Libya";"28.1";"0.98";"0.92";NULL;NULL;"0.93";NULL;"0.94";"0.93";NULL;NULL;"0.94"
"Trinidad and Tobago";"27.7";NULL;NULL;"0.74";NULL;"0.9";NULL;"0.9";"0.9";NULL;"0.91";"0.9"
"Albania";"27.1";"0.93";"0.96";NULL;NULL;"0.95";NULL;"0.97";NULL;NULL;NULL;"0.97"
"Jordan";"26.9";NULL;"0.93";NULL;NULL;"0.94";NULL;"0.94";"0.83";NULL;NULL;"0.91"
"Palau";"26.4";NULL;"0.96";"0.96";NULL;"0.83";NULL;"0.96";"0.83";NULL;NULL;"0.96"
"Panama";"25.6";"0.99";NULL;NULL;NULL;"0.97";NULL;"0.99";"0.97";NULL;"0";"0.98"
"Colombia";"25.1";"0.91";"0.78";"0.65";NULL;"0.88";NULL;"0.82";"0.88";NULL;NULL;"0.79"
"Belize";"24.4";"0.96";"0.76";NULL;NULL;"0.96";NULL;"0.91";"0.96";NULL;NULL;"0.91"
"St. Kitts and Nevis";"23.9";"0.99";"0.99";"0.12";NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Syrian Arab Republic";"23.1";"0.91";"0.79";NULL;NULL;"0.84";NULL;"0.86";"0.84";NULL;NULL;"0.84"
"Fiji";"22.6";"0.96";"0.98";"0.98";NULL;"0.81";NULL;"0.91";"0.81";NULL;NULL;"0.9"
"St. Vincent and the Grenadines";"22.5";"0.99";NULL;NULL;NULL;"0.96";NULL;"0.99";"0.96";NULL;NULL;"0.98"
"Saudi Arabia";"22.1";"0.94";"0.93";NULL;NULL;"0.94";NULL;"0.95";"0.94";NULL;NULL;"0.95"
"Romania";"21.5";"0.99";"0.98";NULL;NULL;"0.98";NULL;"0.99";NULL;NULL;NULL;"0.99"
"Venezuela. RB";"21.5";"0.99";"0.05";"0.02";NULL;"0.84";NULL;"0.86";"0.84";NULL;"0.17";"0.77"
"Thailand";"21.3";"0.99";"0.95";NULL;NULL;"0.94";NULL;"0.97";"0.94";NULL;NULL;"0.97"
"Samoa";"21.2";"0.97";"0.93";NULL;NULL;"0.93";NULL;"0.98";NULL;NULL;NULL;"0.98"
"Jamaica";"20.5";"0.94";NULL;NULL;NULL;"0.88";NULL;"0.95";"0.88";NULL;NULL;"0.93"
"Lebanon";"19.8";NULL;"0.83";NULL;NULL;"0.71";NULL;"0.83";"0.71";NULL;NULL;"0.83"
"Argentina";"19.4";"0.95";NULL;"0.83";NULL;"0.91";NULL;"0.88";"0.91";NULL;NULL;"0.83"
"Russian Federation";"19.4";"0.96";NULL;NULL;NULL;"0.97";NULL;"0.97";"0.97";NULL;NULL;"0.96"
"Mauritius";"18.8";"0.88";"0.88";NULL;NULL;"0.84";NULL;"0.88";"0.84";NULL;NULL;"0.88"
"Ukraine";"18.4";"0.98";"0.04";NULL;NULL;"0.99";NULL;"0.99";NULL;NULL;NULL;"0.99"
"St. Lucia";"18.2";"0.91";NULL;NULL;NULL;"0.88";NULL;"0.7";"0.88";NULL;NULL;"0.7"
"Bulgaria";"17.5";"0.98";"0.94";NULL;NULL;"0.89";NULL;"0.94";"0.89";NULL;NULL;"0.93"
"Dominica";"17.5";"0.99";NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Uruguay";"17";"0.99";"0.92";"0.88";NULL;"0.89";NULL;"0.92";"0.89";NULL;NULL;"0.9"
"Tonga";"16.9";"0.99";"0.97";NULL;NULL;"0.95";NULL;"0.95";NULL;NULL;NULL;"0.95"
"Sri Lanka";"16.7";"0.98";NULL;NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Oman";"16.4";"0.98";"0.99";NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Bahamas. The";"16.1";NULL;NULL;"0.9";NULL;"0.93";NULL;"0.91";"0.93";NULL;NULL;"0.99"
"North Macedonia";"15.8";"0.97";NULL;NULL;NULL;"0.97";NULL;"0.96";"0.97";NULL;NULL;"0.95"
"Grenada";"15.5";NULL;NULL;"0.33";NULL;"0.92";NULL;"0.97";"0.92";NULL;NULL;"0.97"
"Antigua and Barbuda";"14.9";NULL;NULL;NULL;NULL;"0.95";NULL;"0.96";"0.95";NULL;NULL;"0.95"
"Barbados";"14.7";NULL;NULL;NULL;NULL;"0.94";NULL;"0.86";"0.94";NULL;NULL;"0.93"
"Latvia";"14.2";"0.99";"0.95";"0.79";NULL;"0.97";NULL;"0.96";"0.97";NULL;NULL;"0.96"
"Seychelles";"13.8";"0.99";"0.97";NULL;NULL;"0.97";NULL;"0.98";"0.97";NULL;NULL;"0.98"
"Costa Rica";"13.1";"0.95";"0.89";"0.92";NULL;"0.82";NULL;"0.8";"0.82";NULL;NULL;"0.88"
"Belarus";"12.8";"0.99";"0.7";NULL;NULL;"0.98";NULL;"0.99";"0.98";NULL;NULL;"0.99"
"Kuwait";"12.7";NULL;"0.95";"0.98";NULL;"0.99";NULL;"0.94";"0.99";NULL;NULL;"0.98"
"Serbia";"12.7";"0.85";NULL;NULL;NULL;"0.89";NULL;"0.98";"0.89";NULL;NULL;"0.95"
"Bahrain";"12.5";NULL;"0.97";"0.97";NULL;"0.98";NULL;"0.97";"0.98";NULL;NULL;"0.97"
"Qatar";"12.5";"0.99";"0.89";"0.8";NULL;"0.91";NULL;"0.91";"0.91";NULL;NULL;"0.8"
"Estonia";"11";"0.99";NULL;NULL;NULL;"0.93";NULL;"0.93";"0.93";NULL;NULL;"0.93"
"Chile";"10.9";"0.93";NULL;"0.91";NULL;"0.97";NULL;"0.91";"0.97";NULL;NULL;"0.91"
"Lithuania";"10.7";"0.99";"0.98";"0.02";NULL;"0.97";NULL;"0.92";"0.97";NULL;NULL;"0.94"
"United Arab Emirates";"10.7";"0.98";"0.92";"0.92";NULL;"0.94";NULL;"0.94";"0.94";NULL;NULL;"0.94"
"Brunei Darussalam";"10.3";"0.99";"0.99";NULL;NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Hungary";"10.1";"0.99";NULL;"0.99";NULL;"0.99";NULL;"0.99";"0.99";NULL;NULL;"0.99"
"Malaysia";"10.1";"0.99";"0.97";NULL;NULL;"0.96";NULL;"0.98";"0.96";NULL;NULL;"0.98"
"Bosnia and Herzegovina";"9.7";"0.93";NULL;NULL;NULL;"0.8";NULL;"0.87";"0.8";NULL;NULL;"0.85"
"Slovak Republic";"9.6";"0.94";"0.98";"0.59";NULL;"0.98";NULL;"0.98";"0.98";NULL;NULL;"0.99"
"Poland";"9.3";"0.96";"0.99";NULL;NULL;"0.97";NULL;"0.98";"0.97";NULL;NULL;"0.98"
"Cuba";"8.6";"0.99";"0.98";"0.99";NULL;"0.94";NULL;"0.98";"0.94";NULL;NULL;"0.95"
"United States";"8.5";NULL;"0.9";"0.93";NULL;"0.91";NULL;"0.9";"0.91";NULL;NULL;"0.94"
"Croatia";"8.3";"0.98";NULL;NULL;NULL;"0.93";NULL;"0.94";"0.93";NULL;NULL;"0.93"
"Andorra";"7.6";NULL;"0.84";"0.9";NULL;"0.97";NULL;"0.95";"0.97";NULL;NULL;"0.98"
"Malta";"7.6";NULL;NULL;"0.93";NULL;"0.74";NULL;"0.94";"0.74";NULL;NULL;"0.94"
"Korea. Rep.";"7.5";"0.73";"0.93";NULL;NULL;"0.95";NULL;"0.99";"0.95";NULL;NULL;"0.97"
"New Zealand";"7.4";NULL;"0.9";"0.9";NULL;"0.85";NULL;"0.82";"0.85";NULL;NULL;"0.9"
"Portugal";"7.2";"0.82";"0.58";"0.86";NULL;"0.87";NULL;"0.96";"0.87";NULL;NULL;"0.96"
"Ireland";"7.1";"0.89";NULL;"0.85";NULL;"0.79";NULL;"0.86";"0.79";NULL;NULL;"0.86"
"Israel";"6.9";NULL;"0.98";"0.93";NULL;"0.95";NULL;"0.93";"0.95";NULL;NULL;"0.93"
"Cyprus";"6.5";NULL;"0.89";"0.32";NULL;"0.86";NULL;"0.97";"0.86";NULL;NULL;"0.97"
"United Kingdom";"6.5";NULL;NULL;"0.91";NULL;"0.88";NULL;"0.91";"0.88";NULL;NULL;"0.91"
"Greece";"6.4";NULL;"0.89";"0.87";NULL;"0.89";NULL;"0.89";"0.89";NULL;NULL;"0.89"
"Australia";"6.2";NULL;NULL;"0.9";NULL;"0.91";NULL;"0.9";"0.91";NULL;NULL;"0.9"
"Canada";"6.2";NULL;NULL;"0.88";NULL;"0.96";NULL;NULL;"0.96";NULL;NULL;"0.89"
"Netherlands";"6.2";NULL;NULL;"0.96";NULL;"0.96";NULL;"0.97";"0.96";NULL;NULL;"0.97"
"Belgium";"5.9";NULL;"0.6";"0.86";NULL;"0.82";NULL;"0.96";"0.82";NULL;NULL;"0.95"
"Denmark";"5.6";NULL;NULL;"0.95";NULL;"0.99";NULL;"0.97";"0.99";NULL;NULL;"0.97"
"Italy";"5.6";NULL;"0.94";"0.55";NULL;"0.74";NULL;"0.97";"0.74";NULL;NULL;"0.87"
"Switzerland";"5.6";NULL;NULL;"0.91";NULL;"0.82";NULL;"0.95";"0.82";NULL;NULL;"0.93"
"Austria";"5.5";NULL;"0.33";"0.72";NULL;"0.75";NULL;"0.71";"0.75";NULL;NULL;"0.81"
"Czechia";"5.5";"0.98";NULL;NULL;NULL;"0.97";NULL;"0.98";"0.97";NULL;NULL;"0.98"
"France";"5.4";"0.83";"0.26";"0.86";NULL;"0.84";NULL;"0.98";"0.84";NULL;NULL;"0.97"
"Germany";"5.4";NULL;"0.84";"0.94";NULL;"0.92";NULL;"0.94";"0.92";NULL;NULL;"0.9"
